Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
45,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
46,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,9,6,0,6,3,4,20,20.0,16,12,5,7,5,14,13,0,Matches
47,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,15,9,6,6,3,7,17,41.2,10,10,2,8,7,22,10,0,Matches
48,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,26,14,8,14,4,14,42,33.3,28,32,1,31,8,34,12,0,Matches
49,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,24,2,Matches
50,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,27,21,20,7,0,12,16,75.0,4,38,27,11,49,76,87,0,Matches
52,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,1.1,3,3,0,3,0,1,1,100.0,0,3,1,2,2,5,5,0,Matches
53,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,1.9,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,1,0,Matches
54,Asmir Begović,ba BIH,GK,Everton,35,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
55,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,20.9,37,17,28,9,0,15,20,75.0,5,29,12,17,44,81,110,0,Matches
56,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,23.0,25,15,11,7,7,11,27,40.7,16,23,1,22,9,34,13,0,Matches
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,45,28,15,21,9,16,28,57.1,12,28,15,13,20,65,22,0,Matches
58,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
59,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,9.9,38,23,18,16,4,22,30,73.3,8,16,4,12,3,41,26,0,Matches
60,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
61,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,0.2,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0,Matches
62,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,30.7,63,36,21,33,9,11,40,27.5,29,48,8,40,31,94,58,1,Matches
63,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,11.2,16,13,6,6,4,2,7,28.6,5,15,6,9,12,28,10,0,Matches
64,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,7.6,13,6,8,3,2,8,13,61.5,5,13,4,9,12,25,45,0,Matches
65,Sven Botman,nl NED,DF,Newcastle Utd,22,2000,34.7,38,24,31,7,0,22,28,78.6,6,44,24,20,34,72,126,2,Matches
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,35.9,39,16,14,11,14,16,57,28.1,41,47,9,38,36,75,25,0,Matches
67,James Bree,eng ENG,DF,Southampton,24,1997,4.1,5,3,4,1,0,3,4,75.0,1,3,1,2,6,11,11,0,Matches
68,Armando Broja,al ALB,FW,Chelsea,20,2001,3.3,4,1,0,3,1,1,1,100.0,0,10,1,9,1,5,1,0,Matches
69,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,1.9,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,5,0,Matches
70,Lewis Brunt,eng ENG,DF,Leicester City,21,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
71,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,26.8,52,23,20,20,12,21,74,28.4,53,20,2,18,20,72,17,0,Matches
72,Hugo Bueno,es ESP,DF,Wolves,19,2002,14.6,33,16,23,6,4,17,33,51.5,16,14,1,13,10,43,36,0,Matches
73,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,6.3,2,1,1,1,0,1,22,4.5,21,5,2,3,4,6,3,0,Matches
74,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,34.6,60,38,29,23,8,34,67,50.7,33,42,16,26,32,92,120,2,Matches
75,Cafú,pt POR,MF,Nott'ham Forest,29,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,100,50,41,47,12,40,68,58.8,28,43,7,36,56,156,31,3,Matches
77,Tom Cairney,sct SCO,MF,Fulham,31,1991,11.0,17,6,4,8,5,7,10,70.0,3,18,3,15,5,22,3,0,Matches
78,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,10.5,14,10,9,4,1,6,9,66.7,3,15,11,4,15,29,65,1,Matches
79,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,12.9,4,2,1,0,3,1,5,20.0,4,5,1,4,3,7,18,0,Matches
80,Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,0.8,2,1,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,Matches
81,João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,29,21,16,9,4,17,24,70.8,7,7,1,6,19,48,9,1,Matches
82,Thomas Cannon,ie IRL,FW,Everton,19,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
83,Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,0.9,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,1,0,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,29,1993,2.3,1,0,0,1,0,0,1,0.0,1,2,2,0,1,2,2,0,Matches
85,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,3.9,8,8,3,3,2,3,6,50.0,3,6,0,6,6,14,0,0,Matches
86,Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,89,46,43,35,11,48,92,52.2,44,49,11,38,34,123,64,0,Matches
87,Matty Cash,pl POL,DF,Aston Villa,24,1997,20.2,55,32,36,15,4,26,37,70.3,11,20,5,15,26,81,43,0,Matches
88,Timothy Castagne,be BEL,DF,Leicester City,26,1995,36.2,87,44,53,27,7,41,84,48.8,43,50,13,37,43,130,110,0,Matches
89,Jonny Castro,es ESP,DF,Wolves,28,1994,14.0,34,15,23,10,1,18,37,48.6,19,26,5,21,14,48,28,2,Matches
90,Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,9.0,13,4,3,6,4,8,13,61.5,5,9,0,9,4,17,2,0,Matches
91,Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,17.9,31,20,22,6,3,24,34,70.6,10,17,7,10,24,55,56,1,Matches
93,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,3.9,9,6,7,2,0,6,8,75.0,2,5,4,1,7,16,10,1,Matches
94,Shea Charles,nir NIR,DF,Manchester City,18,2003,0.3,4,0,4,0,0,1,1,100.0,0,0,0,0,1,5,2,0,Matches
95,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,1996,15.6,21,17,12,8,1,13,25,52.0,12,21,2,19,18,39,26,0,Matches
96,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,1995,20.4,34,22,10,23,1,14,49,28.6,35,16,4,12,26,60,20,0,Matches
97,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,2003,3.9,13,7,7,6,0,3,5,60.0,2,7,0,7,6,19,1,0,Matches
98,Bobby Clark,eng ENG,MF,Liverpool,17,2005,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
99,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,18.2,27,16,13,9,5,14,23,60.9,9,22,4,18,19,46,34,0,Matches
100,Conor Coady,eng ENG,DF,Everton,29,1993,23.3,14,9,8,6,0,7,15,46.7,8,21,17,4,14,28,88,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Jack Colback,eng ENG,MF,Nott'ham Forest,32,1989,5.5,18,13,12,6,0,5,8,62.5,3,3,0,3,3,21,9,0,Matches
102,Séamus Coleman,ie IRL,DF,Everton,33,1988,18.4,35,26,21,10,4,19,29,65.5,10,14,7,7,22,57,58,2,Matches
103,Nathan Collins,ie IRL,DF,Wolves,21,2001,20.2,27,15,19,8,0,15,24,62.5,9,35,28,7,21,48,84,0,Matches
104,Levi Colwill,eng ENG,DF,Brighton,19,2003,13.6,8,7,4,4,0,4,9,44.4,5,5,3,2,15,23,37,1,Matches
105,Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,37,22,10,22,5,18,42,42.9,24,29,10,19,23,60,31,0,Matches
106,Steve Cook,eng ENG,DF,Nott'ham Forest,31,1991,10.6,8,4,4,4,0,5,7,71.4,2,16,11,5,12,20,51,0,Matches
107,Liam Cooper,sct SCO,DF,Leeds United,30,1991,15.8,38,23,27,9,2,23,36,63.9,13,16,8,8,34,72,57,3,Matches
108,Maxwel Cornet,ci CIV,FW,West Ham,25,1996,2.7,7,3,5,0,2,4,6,66.7,2,6,0,6,2,9,3,0,Matches
109,Diego Costa,es ESP,FW,Wolves,33,1988,13.8,3,1,3,0,0,2,9,22.2,7,6,1,5,2,5,17,0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,29,1992,23.7,58,31,37,15,6,36,51,70.6,15,24,6,18,38,96,70,0,Matches
111,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,1992,8.8,19,14,8,8,3,9,15,60.0,6,11,1,10,4,23,2,0,Matches
112,Conor Coventry,ie IRL,"MF,FW",West Ham,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
113,Matthew Craig,sct SCO,MF,Tottenham,19,2003,0.2,4,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,Matches
114,Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,21,11,12,7,2,12,31,38.7,19,21,11,10,27,48,56,0,Matches
115,Marc Cucurella,es ESP,DF,Chelsea,24,1998,18.6,66,33,40,15,11,30,60,50.0,30,28,8,20,16,82,48,1,Matches
116,Matheus Cunha,br BRA,FW,Wolves,23,1999,10.7,7,4,0,5,2,2,10,20.0,8,15,3,12,9,16,11,0,Matches
117,Patson Daka,zm ZAM,FW,Leicester City,23,1998,13.2,14,8,6,8,0,3,12,25.0,9,14,2,12,7,21,7,0,Matches
118,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,54,41,40,13,1,33,45,73.3,12,25,7,18,37,91,55,2,Matches
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,11.0,31,21,13,13,5,15,42,35.7,27,20,2,18,10,41,14,0,Matches
120,Danilo,br BRA,MF,Nott'ham Forest,21,2001,10.8,18,7,7,9,2,6,25,24.0,19,26,6,20,9,27,19,0,Matches
121,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,1.9,2,0,1,1,0,0,0,,0,1,0,1,0,2,0,0,Matches
122,Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,18,9,6,6,6,6,16,37.5,10,22,6,16,5,23,7,1,Matches
123,David Datro Fofana,ci CIV,FW,Chelsea,19,2002,0.8,3,1,1,1,1,1,1,100.0,0,1,0,1,0,3,0,0,Matches
124,Ben Davies,wls WAL,DF,Tottenham,29,1993,25.4,28,11,13,13,2,14,26,53.8,12,17,8,9,18,46,72,0,Matches
125,Tom Davies,eng ENG,MF,Everton,24,1998,6.0,15,9,5,9,1,7,14,50.0,7,10,1,9,4,19,7,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Craig Dawson,eng ENG,DF,West Ham,32,1990,8.0,10,6,8,2,0,4,6,66.7,2,9,6,3,6,16,26,0,Matches
127,Craig Dawson,eng ENG,DF,Wolves,32,1990,15.7,9,6,6,3,0,4,7,57.1,3,31,23,8,12,21,74,2,Matches
128,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,28,12,3,12,13,14,39,35.9,25,27,2,25,9,37,10,0,Matches
